customerID,proba_churn,priorite,action_recommandee,tenure,Contract,PaymentMethod,MonthlyCharges,TechSupport,OnlineSecurity,InternetService
7130-VTEWQ,0.7495,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,8,Month-to-month,Electronic check,75.75,No,No,Fiber optic
1143-NMNQJ,0.7488,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,2,Month-to-month,Electronic check,85.7,No,No,Fiber optic
6457-USBER,0.7485,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,80.8,No,No,Fiber optic
5494-HECPR,0.7479,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,80.25,No,No,Fiber optic
9300-RENDD,0.7476,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,79.95,No,No,Fiber optic
9878-TNQGW,0.7438,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,2,Month-to-month,Electronic check,80.95,No,No,Fiber optic
4273-MBHYA,0.7437,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,89.35,No,No,Fiber optic
2799-ARNLO,0.7431,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,5,Month-to-month,Electronic check,69.35,No,No,Fiber optic
4234-XTNEA,0.7428,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,2,Month-to-month,Electronic check,79.95,No,No,Fiber optic
8816-VXNZD,0.7421,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,75.1,No,No,Fiber optic
6860-YRJZP,0.7419,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,9,Month-to-month,Electronic check,74.05,No,No,Fiber optic
4529-CKBCL,0.7418,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,2,Month-to-month,Electronic check,80.2,No,No,Fiber optic
4927-WWOOZ,0.7415,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,2,Month-to-month,Electronic check,91.45,No,No,Fiber optic
7074-IEVOJ,0.7408,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,3,Month-to-month,Electronic check,79.4,No,No,Fiber optic
7779-LGOVN,0.7403,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,10,Month-to-month,Electronic check,86.65,No,No,Fiber optic
9402-ORRAH,0.7397,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,15,Month-to-month,Electronic check,91.5,No,No,Fiber optic
1031-IIDEO,0.7372,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,70.85,No,No,Fiber optic
1618-CFHME,0.7369,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,2,Month-to-month,Electronic check,75.9,No,No,Fiber optic
1678-FYZOW,0.7363,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,3,Month-to-month,Electronic check,79.4,No,No,Fiber optic
0328-GRPMV,0.7363,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,70.1,No,No,Fiber optic
5875-YPQFJ,0.7361,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,69.9,No,No,Fiber optic
5542-TBBWB,0.7361,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,69.9,No,No,Fiber optic
7660-HDPJV,0.7353,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,69.2,No,No,Fiber optic
2018-QKYGT,0.7341,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,81.05,No,No,Fiber optic
1658-BYGOY,0.7329,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,18,Month-to-month,Electronic check,95.45,No,No,Fiber optic
8752-STIVR,0.7293,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,4,Month-to-month,Electronic check,79.0,No,No,Fiber optic
1579-KLYDT,0.7288,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,7,Month-to-month,Electronic check,90.45,No,No,Fiber optic
0094-OIFMO,0.7269,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,11,Month-to-month,Electronic check,95.0,No,No,Fiber optic
0004-TLHLJ,0.7233,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,4,Month-to-month,Electronic check,73.9,No,No,Fiber optic
8380-PEFPE,0.723,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,71.65,No,No,Fiber optic
9897-KXHCM,0.7225,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,3,Month-to-month,Electronic check,80.3,No,No,Fiber optic
4550-EVXNY,0.7206,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,69.65,No,No,Fiber optic
1447-GIQMR,0.7199,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,69.15,No,No,Fiber optic
6416-TVAIH,0.7192,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,68.5,No,No,Fiber optic
9391-EOYLI,0.7189,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,12,Month-to-month,Electronic check,80.45,No,No,Fiber optic
4795-KTRTH,0.7168,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,5,Month-to-month,Electronic check,81.0,No,No,Fiber optic
9944-HKVVB,0.7159,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,3,Month-to-month,Electronic check,95.1,No,No,Fiber optic
2959-MJHIC,0.7157,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,4,Month-to-month,Electronic check,80.35,No,No,Fiber optic
7234-FECYN,0.7147,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,8,Month-to-month,Electronic check,101.35,No,No,Fiber optic
4094-NSEDU,0.7136,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,21,Month-to-month,Electronic check,94.25,No,No,Fiber optic
7526-BEZQB,0.7133,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,12,Month-to-month,Electronic check,96.05,No,No,Fiber optic
3398-FSHON,0.7118,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,12,Month-to-month,Electronic check,91.3,No,No,Fiber optic
7379-POKDZ,0.7087,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,3,Month-to-month,Electronic check,70.3,No,No,Fiber optic
9208-OLGAQ,0.7067,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,18,Month-to-month,Electronic check,84.95,No,No,Fiber optic
1626-ERCMM,0.7043,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,20,Month-to-month,Electronic check,94.55,No,No,Fiber optic
0011-IGKFF,0.7024,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,13,Month-to-month,Electronic check,98.0,No,No,Fiber optic
5564-NEMQO,0.7022,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Bank transfer (automatic),75.3,No,No,Fiber optic
3097-NQYSN,0.7012,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,2,Month-to-month,Mailed check,86.85,No,No,Fiber optic
0702-PGIBZ,0.7009,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,4,Month-to-month,Electronic check,101.7,No,No,Fiber optic
3621-CEOVK,0.7007,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,14,Month-to-month,Electronic check,100.2,No,No,Fiber optic
8875-AKBYH,0.7003,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,20,Month-to-month,Electronic check,84.35,No,No,Fiber optic
3295-YVUSR,0.7,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,2,Month-to-month,Mailed check,72.6,No,No,Fiber optic
3765-JXVKY,0.6999,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,74.7,No,No,Fiber optic
3030-YDNRM,0.6987,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,8,Month-to-month,Electronic check,74.85,No,No,Fiber optic
1195-OIYEJ,0.6969,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,13,Month-to-month,Electronic check,91.1,No,No,Fiber optic
8185-UPYBR,0.6966,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,6,Month-to-month,Electronic check,75.5,No,No,Fiber optic
5928-QLDHB,0.6961,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,9,Month-to-month,Electronic check,76.25,No,No,Fiber optic
2398-YPMUR,0.695,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,13,Month-to-month,Electronic check,70.15,No,No,Fiber optic
7613-LLQFO,0.695,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,12,Month-to-month,Electronic check,84.45,No,No,Fiber optic
0018-NYROU,0.6942,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,5,Month-to-month,Electronic check,68.95,No,No,Fiber optic
0680-DFNNY,0.6925,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,15,Month-to-month,Electronic check,101.1,No,No,Fiber optic
4283-FUTGF,0.6919,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,19,Month-to-month,Electronic check,79.85,No,No,Fiber optic
2260-USTRB,0.6868,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,2,Month-to-month,Bank transfer (automatic),70.2,No,No,Fiber optic
4505-EXZHB,0.6847,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,6,Month-to-month,Electronic check,74.4,No,No,Fiber optic
5054-IEXZT,0.6844,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,75.35,No,No,Fiber optic
0689-NKYLF,0.6843,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,13,Month-to-month,Electronic check,83.2,No,No,Fiber optic
3138-BKYAV,0.6834,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,6,Month-to-month,Electronic check,85.35,No,No,Fiber optic
1184-PJVDB,0.6829,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,10,Month-to-month,Electronic check,79.95,No,No,Fiber optic
9189-JWSHV,0.6812,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,24,Month-to-month,Electronic check,93.55,No,No,Fiber optic
7903-CMPEY,0.681,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,80.3,No,Yes,Fiber optic
6087-MVHJH,0.6788,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,16,Month-to-month,Electronic check,88.45,No,No,Fiber optic
7120-RFMVS,0.6772,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,84.5,No,No,Fiber optic
3957-LXOLK,0.6747,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,28,Month-to-month,Electronic check,106.15,No,No,Fiber optic
8010-EZLOU,0.6743,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,15,Month-to-month,Electronic check,80.2,No,No,Fiber optic
7145-FEJWU,0.6719,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,12,Month-to-month,Electronic check,105.3,No,No,Fiber optic
5609-CEBID,0.6706,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,20,Month-to-month,Electronic check,94.1,No,No,Fiber optic
6688-UZPWD,0.6701,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,11,Month-to-month,Electronic check,102.0,No,No,Fiber optic
4143-OOBWZ,0.6681,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,5,Month-to-month,Electronic check,81.3,No,No,Fiber optic
1569-TTNYJ,0.6646,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,5,Month-to-month,Electronic check,78.75,No,No,Fiber optic
5382-SOYZL,0.6624,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,22,Month-to-month,Electronic check,95.1,No,No,Fiber optic
0875-CABNR,0.6621,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,10,Month-to-month,Credit card (automatic),84.6,No,No,Fiber optic
3096-GKWEB,0.662,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,18,Month-to-month,Electronic check,94.75,No,No,Fiber optic
5955-ERIHD,0.6617,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,18,Month-to-month,Electronic check,94.7,No,No,Fiber optic
0306-JAELE,0.6615,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,5,Month-to-month,Electronic check,96.1,Yes,No,Fiber optic
5380-AFSSK,0.6604,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,5,Month-to-month,Mailed check,93.9,No,No,Fiber optic
6379-RXJRQ,0.6596,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,10,Month-to-month,Electronic check,70.1,No,No,Fiber optic
5442-UTCVD,0.6587,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,3,Month-to-month,Electronic check,91.85,No,No,Fiber optic
2262-SLNVK,0.658,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,70.1,No,No,Fiber optic
5995-SNNEW,0.6566,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,23,Month-to-month,Electronic check,104.45,No,No,Fiber optic
2856-HYAPG,0.656,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,68.65,No,No,Fiber optic
4480-QQRHC,0.6554,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,8,Month-to-month,Bank transfer (automatic),74.05,No,No,Fiber optic
6140-QNRQQ,0.6517,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Mailed check,71.55,No,No,Fiber optic
5442-BHQNG,0.6513,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,2,Month-to-month,Electronic check,70.35,No,No,Fiber optic
7028-DVOIQ,0.6506,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,35,Month-to-month,Electronic check,99.05,No,No,Fiber optic
2107-FBPTK,0.6491,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,30,Month-to-month,Electronic check,104.1,No,No,Fiber optic
6331-EWIEB,0.6477,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,20,Month-to-month,Electronic check,85.25,No,No,Fiber optic
4816-JBHOV,0.6475,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,2,Month-to-month,Electronic check,44.7,No,No,DSL
3754-DXMRT,0.6467,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,2,Month-to-month,Electronic check,44.15,No,No,DSL
4598-XLKNJ,0.6453,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,25,Month-to-month,Electronic check,98.5,No,No,Fiber optic
9355-NPPFS,0.644,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,26,Month-to-month,Electronic check,78.8,No,No,Fiber optic
9025-AOMKI,0.6428,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,6,Month-to-month,Bank transfer (automatic),93.55,No,No,Fiber optic
6319-IEJWJ,0.6388,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,20,Month-to-month,Electronic check,90.2,No,No,Fiber optic
8413-VONUO,0.6387,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,2,Month-to-month,Electronic check,95.65,No,No,Fiber optic
4873-ILOLJ,0.6386,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,24,Month-to-month,Electronic check,90.35,No,No,Fiber optic
6923-JHPMP,0.6374,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,2,Month-to-month,Electronic check,80.45,No,Yes,Fiber optic
1918-ZBFQJ,0.6355,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,13,Month-to-month,Electronic check,79.25,No,No,Fiber optic
3473-XIIIT,0.6347,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,16,Month-to-month,Electronic check,100.0,No,No,Fiber optic
7479-NITWS,0.6327,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,7,Month-to-month,Credit card (automatic),89.35,No,No,Fiber optic
5244-IRFIH,0.6314,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,33,Month-to-month,Electronic check,94.5,No,No,Fiber optic
7908-QCBCA,0.6308,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Mailed check,69.4,No,No,Fiber optic
2984-MIIZL,0.629,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,4,Month-to-month,Bank transfer (automatic),74.8,No,No,Fiber optic
3746-EUBYR,0.6288,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Bank transfer (automatic),74.6,No,No,Fiber optic
3884-HCSWG,0.6274,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,17,Month-to-month,Electronic check,70.0,No,No,Fiber optic
4566-NECEV,0.6266,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,5,Month-to-month,Electronic check,96.55,No,No,Fiber optic
8861-HGGKB,0.623,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,10,Month-to-month,Electronic check,86.45,No,No,Fiber optic
2612-RANWT,0.6215,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,12,Month-to-month,Bank transfer (automatic),100.15,No,No,Fiber optic
5673-FSSMF,0.6212,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,60.15,No,No,DSL
8630-FJLIB,0.6202,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,18,Month-to-month,Electronic check,69.8,No,No,Fiber optic
7703-ZEKEF,0.6201,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,23,Month-to-month,Electronic check,81.0,No,No,Fiber optic
3074-GQWYX,0.62,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,5,Month-to-month,Bank transfer (automatic),75.9,No,No,Fiber optic
2739-CACDQ,0.616,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,17,Month-to-month,Credit card (automatic),82.65,No,No,Fiber optic
5216-WASFJ,0.6138,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,31,Month-to-month,Electronic check,84.85,No,No,Fiber optic
2154-KVJFF,0.6125,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,15,Month-to-month,Electronic check,79.75,No,No,Fiber optic
2079-FBMZK,0.6124,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,6,Month-to-month,Mailed check,69.25,No,No,Fiber optic
4853-OITSN,0.6119,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,5,Month-to-month,Electronic check,89.15,No,Yes,Fiber optic
7932-WPTDS,0.6099,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,24.8,No,No,DSL
8625-AZYZY,0.6097,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,24,Month-to-month,Electronic check,104.65,No,No,Fiber optic
9330-IJWIO,0.6094,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,13,Month-to-month,Electronic check,100.35,No,Yes,Fiber optic
8120-JDCAM,0.6094,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,4,Month-to-month,Mailed check,69.55,No,No,Fiber optic
0947-MUGVO,0.6068,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,20,Month-to-month,Electronic check,73.65,No,No,Fiber optic
9121-PHQSR,0.6063,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,16,Month-to-month,Credit card (automatic),85.05,No,No,Fiber optic
4298-OYIFC,0.605,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,15,Month-to-month,Electronic check,103.45,Yes,No,Fiber optic
9494-MRNYX,0.6048,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,10,Month-to-month,Electronic check,75.05,No,No,Fiber optic
3249-ZPQRG,0.6021,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,4,Month-to-month,Electronic check,78.45,No,No,Fiber optic
0812-WUPTB,0.602,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Mailed check,70.85,No,No,Fiber optic
0027-KWYKW,0.6003,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,23,Month-to-month,Electronic check,83.75,No,No,Fiber optic
4484-CGXFK,0.5996,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,3,Month-to-month,Electronic check,55.3,No,No,DSL
8854-CCVSQ,0.5991,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,18,Month-to-month,Electronic check,80.65,No,No,Fiber optic
6857-VWJDT,0.5982,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Mailed check,95.65,No,No,Fiber optic
4855-SNKMY,0.5981,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,44.1,No,No,DSL
1580-BMCMR,0.5968,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,19,Month-to-month,Electronic check,87.3,No,Yes,Fiber optic
5022-KVDQT,0.5954,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,27,Month-to-month,Electronic check,81.3,No,No,Fiber optic
5405-ZMYXQ,0.5949,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,8,Month-to-month,Credit card (automatic),74.6,No,No,Fiber optic
9436-ZBZCT,0.5939,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,14,Month-to-month,Electronic check,89.95,Yes,No,Fiber optic
2091-RFFBA,0.5929,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,31,Month-to-month,Electronic check,73.9,No,No,Fiber optic
3640-PHQXK,0.5925,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,31,Month-to-month,Electronic check,89.9,No,No,Fiber optic
2696-NARTR,0.5913,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,11,Month-to-month,Electronic check,73.85,Yes,No,Fiber optic
2962-XPMCQ,0.5912,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,2,Month-to-month,Electronic check,45.15,No,No,DSL
3427-GGZZI,0.5906,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,19,Month-to-month,Electronic check,89.1,No,No,Fiber optic
2114-MGINA,0.5905,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,14,Month-to-month,Mailed check,89.8,No,No,Fiber optic
4013-TLDHQ,0.5878,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,19,Month-to-month,Electronic check,78.25,No,No,Fiber optic
4123-DVHPH,0.587,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,9,Month-to-month,Electronic check,88.05,No,Yes,Fiber optic
6137-NICCO,0.5856,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,6,Month-to-month,Mailed check,94.05,No,No,Fiber optic
8118-TJAFG,0.5831,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,9,Month-to-month,Electronic check,101.5,Yes,No,Fiber optic
3753-TSEMP,0.5819,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,15,Month-to-month,Electronic check,88.15,No,No,Fiber optic
9828-AOQLM,0.5817,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,45.7,No,No,DSL
2504-DSHIH,0.5805,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,23,Month-to-month,Electronic check,86.8,No,No,Fiber optic
4132-KALRO,0.5802,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,4,Month-to-month,Mailed check,100.85,Yes,No,Fiber optic
4587-NUKOX,0.5801,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,3,Month-to-month,Electronic check,79.1,No,Yes,Fiber optic
3799-ISUZQ,0.5798,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,7,Month-to-month,Bank transfer (automatic),69.95,No,No,Fiber optic
4361-JEIVL,0.5797,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,44.4,No,No,DSL
3672-YITQD,0.5777,P2 - Appel cette semaine,Proposer migration vers contrat 1 an avec remise,36,Month-to-month,Electronic check,84.1,No,No,Fiber optic
